,Product,Quantity,Value,date,year,month,day,price
383,Sheets Cold Rolled,151020,159738,2013-10-15,2013,10,15,1.0577274533174414
384,Sheets & Strip Galv Hot Dipped,216936,196609,2013-10-15,2013,10,15,0.9062995537854482
385,Sheets & Strip Galv Electrolyt,10576,10701,2013-10-15,2013,10,15,1.0118192133131618
386,Sheets & Strip All Oth Met Coat,89479,82127,2013-10-15,2013,10,15,0.917835469775031
387,Sheets & Strip - Electrical,7992,12467,2013-10-15,2013,10,15,1.559934934934935
388,Strip - Hot Rolled,5478,6310,2013-10-15,2013,10,15,1.1518802482657904
389,Strip - Cold Rolled,14645,34336,2013-10-15,2013,10,15,2.3445544554455444
390,Total Selected Commodities,2351924,2259167,2013-11-15,2013,11,15,0.9605612256178346
391,Ingots And Steel For Castings,2224,4109,2013-11-15,2013,11,15,1.847571942446043
392,"Blooms, Billets And Slabs",614099,334809,2013-11-15,2013,11,15,0.5452036235199862
393,Wire Rods,58751,50852,2013-11-15,2013,11,15,0.8655512246600058
394,Structural Shapes Heavy,40007,33792,2013-11-15,2013,11,15,0.8446521858674731
395,Steel Piling,8671,9285,2013-11-15,2013,11,15,1.0708107484719178
396,Plates Cut Lengths,72106,76269,2013-11-15,2013,11,15,1.0577344465093057
397,Plates In Coils,90880,69889,2013-11-15,2013,11,15,0.769025088028169
398,Rails Standard,20328,17696,2013-11-15,2013,11,15,0.8705234159779615
399,Rails All Other,1095,1095,2013-11-15,2013,11,15,1.0
400,Railroad Accessories,585,668,2013-11-15,2013,11,15,1.1418803418803418
401,Bars - Hot Rolled,115794,118955,2013-11-15,2013,11,15,1.0272984783322106
402,Bars - Light Shaped,16611,14273,2013-11-15,2013,11,15,0.8592498946481247
403,Bars - Reinforcing,93838,54721,2013-11-15,2013,11,15,0.5831432894989237
404,Bars - Cold Finished,24269,61491,2013-11-15,2013,11,15,2.533726152705097
405,Tool Steel,11464,33245,2013-11-15,2013,11,15,2.899947662247034
406,Standard Pipe,47303,53628,2013-11-15,2013,11,15,1.1337124495275142
407,Oil Country Goods,266575,341204,2013-11-15,2013,11,15,1.2799549845259308
408,Line Pipe > 16 Inches In Diameter,56138,80845,2013-11-15,2013,11,15,1.4401118671844384
409,Line Pipe <= 16 Inches In Diameter,36828,51793,2013-11-15,2013,11,15,1.4063484305419789
410,Line Pipe - Not Specified,28031,24662,2013-11-15,2013,11,15,0.87981163711605
411,Mechanical Tubing,49102,80425,2013-11-15,2013,11,15,1.6379169891246792
412,Pressure Tubing,3522,7899,2013-11-15,2013,11,15,2.2427597955706986
413,Stainless Pipe & Tubing,8147,56843,2013-11-15,2013,11,15,6.977169510249172
414,Pipe & Tubing Nonclassified,1237,3676,2013-11-15,2013,11,15,2.9717057396928053
415,Structural Pipe & Tube,31844,33265,2013-11-15,2013,11,15,1.0446237909810325
416,Pipe For Piling,281,254,2013-11-15,2013,11,15,0.9039145907473309
417,Wire Drawn,47700,74283,2013-11-15,2013,11,15,1.5572955974842768
418,Black Plate,4043,3092,2013-11-15,2013,11,15,0.7647786297303982
419,Tin Plate,37654,40990,2013-11-15,2013,11,15,1.088596165082063
420,Tin Free Steel,11262,11858,2013-11-15,2013,11,15,1.0529213283608596
421,Sheets Hot Rolled,198386,138834,2013-11-15,2013,11,15,0.6998175274464932
422,Sheets Cold Rolled,136068,144784,2013-11-15,2013,11,15,1.0640562071905224
423,Sheets & Strip Galv Hot Dipped,133400,125641,2013-11-15,2013,11,15,0.9418365817091454
424,Sheets & Strip Galv Electrolyt,6841,7013,2013-11-15,2013,11,15,1.0251425230229498
425,Sheets & Strip All Oth Met Coat,51876,48896,2013-11-15,2013,11,15,0.9425553242347136
426,Sheets & Strip - Electrical,7419,11049,2013-11-15,2013,11,15,1.4892842701172664
427,Strip - Hot Rolled,5731,7631,2013-11-15,2013,11,15,1.3315302739487
428,Strip - Cold Rolled,11812,29452,2013-11-15,2013,11,15,2.49339654588554
429,Total Selected Commodities,2274129,2186184,2013-12-15,2013,12,15,0.9613280513110734
430,Ingots And Steel For Castings,2369,3937,2013-12-15,2013,12,15,1.661882650907556
431,"Blooms, Billets And Slabs",557984,310292,2013-12-15,2013,12,15,0.5560947984171589
432,Wire Rods,53700,45995,2013-12-15,2013,12,15,0.8565176908752328
433,Structural Shapes Heavy,33258,29659,2013-12-15,2013,12,15,0.8917854350832882
434,Steel Piling,9366,9727,2013-12-15,2013,12,15,1.0385436685885117
435,Plates Cut Lengths,66551,77475,2013-12-15,2013,12,15,1.164144791212754
436,Plates In Coils,98320,75304,2013-12-15,2013,12,15,0.7659072416598861
437,Rails Standard,13093,11674,2013-12-15,2013,12,15,0.8916214771251814
438,Rails All Other,5211,7028,2013-12-15,2013,12,15,1.3486854730378046
439,Railroad Accessories,1139,1090,2013-12-15,2013,12,15,0.9569798068481123
440,Bars - Hot Rolled,144578,131653,2013-12-15,2013,12,15,0.9106018896374275
441,Bars - Light Shaped,9676,9318,2013-12-15,2013,12,15,0.9630012401818934
442,Bars - Reinforcing,72567,44054,2013-12-15,2013,12,15,0.607080353328648
443,Bars - Cold Finished,22461,57252,2013-12-15,2013,12,15,2.548951515960999
444,Tool Steel,11521,32406,2013-12-15,2013,12,15,2.8127766686919538
445,Standard Pipe,56375,58306,2013-12-15,2013,12,15,1.0342527716186252
446,Oil Country Goods,191178,256594,2013-12-15,2013,12,15,1.3421732626138991
447,Line Pipe > 16 Inches In Diameter,66439,83888,2013-12-15,2013,12,15,1.2626318878971687
448,Line Pipe <= 16 Inches In Diameter,37307,51271,2013-12-15,2013,12,15,1.3742997292733268
449,Line Pipe - Not Specified,32584,27961,2013-12-15,2013,12,15,0.8581205499631721
450,Mechanical Tubing,44228,73408,2013-12-15,2013,12,15,1.6597630460341866
451,Pressure Tubing,4247,10355,2013-12-15,2013,12,15,2.4381916647044974
452,Stainless Pipe & Tubing,9088,66889,2013-12-15,2013,12,15,7.360145246478873
453,Pipe & Tubing Nonclassified,1094,3480,2013-12-15,2013,12,15,3.1809872029250457
454,Structural Pipe & Tube,34872,37569,2013-12-15,2013,12,15,1.0773399862353752
455,Pipe For Piling,736,683,2013-12-15,2013,12,15,0.9279891304347826
456,Wire Drawn,49607,75911,2013-12-15,2013,12,15,1.5302477472937288
457,Black Plate,3593,2456,2013-12-15,2013,12,15,0.6835513498469246
458,Tin Plate,38875,42475,2013-12-15,2013,12,15,1.092604501607717
459,Tin Free Steel,7094,8462,2013-12-15,2013,12,15,1.1928390188892022
460,Sheets Hot Rolled,247900,167537,2013-12-15,2013,12,15,0.675824929407019
461,Sheets Cold Rolled,119008,135062,2013-12-15,2013,12,15,1.134898494218876
462,Sheets & Strip Galv Hot Dipped,158019,143984,2013-12-15,2013,12,15,0.9111815667736158
463,Sheets & Strip Galv Electrolyt,6222,6729,2013-12-15,2013,12,15,1.0814850530376086
464,Sheets & Strip All Oth Met Coat,38155,38353,2013-12-15,2013,12,15,1.0051893591927663
465,Sheets & Strip - Electrical,7209,11494,2013-12-15,2013,12,15,1.5943958940213623
466,Strip - Hot Rolled,6706,6911,2013-12-15,2013,12,15,1.0305696391291381
467,Strip - Cold Rolled,11800,29542,2013-12-15,2013,12,15,2.5035593220338983
468,Total Selected Commodities,2907755,2693575,2014-01-15,2014,1,15,0.9263417997733647
469,Ingots And Steel For Castings,2910,5670,2014-01-15,2014,1,15,1.9484536082474226
470,"Blooms, Billets And Slabs",689877,378650,2014-01-15,2014,1,15,0.5488659572648458
471,Wire Rods,131331,92329,2014-01-15,2014,1,15,0.7030251806504176
472,Structural Shapes Heavy,36630,33514,2014-01-15,2014,1,15,0.9149331149331149
473,Steel Piling,6480,7232,2014-01-15,2014,1,15,1.1160493827160494
474,Plates Cut Lengths,65641,69789,2014-01-15,2014,1,15,1.063192212184458
475,Plates In Coils,140179,101007,2014-01-15,2014,1,15,0.7205572874681657
476,Rails Standard,25681,23511,2014-01-15,2014,1,15,0.9155017327985671
477,Rails All Other,2005,1874,2014-01-15,2014,1,15,0.9346633416458853
478,Railroad Accessories,702,629,2014-01-15,2014,1,15,0.896011396011396
479,Bars - Hot Rolled,99574,114919,2014-01-15,2014,1,15,1.1541064936630043
480,Bars - Light Shaped,13792,12577,2014-01-15,2014,1,15,0.9119054524361949
481,Bars - Reinforcing,194512,116147,2014-01-15,2014,1,15,0.5971199720325738
482,Bars - Cold Finished,25371,67235,2014-01-15,2014,1,15,2.6500729178983877
483,Tool Steel,10928,29757,2014-01-15,2014,1,15,2.723005124450952
484,Standard Pipe,56576,62067,2014-01-15,2014,1,15,1.0970552884615385
485,Oil Country Goods,309552,403691,2014-01-15,2014,1,15,1.3041136868765184
486,Line Pipe > 16 Inches In Diameter,41461,49197,2014-01-15,2014,1,15,1.1865849834784497
487,Line Pipe <= 16 Inches In Diameter,40666,53918,2014-01-15,2014,1,15,1.3258741946589288
488,Line Pipe - Not Specified,46804,40369,2014-01-15,2014,1,15,0.8625117511323819
489,Mechanical Tubing,46513,81523,2014-01-15,2014,1,15,1.7526927955625309
490,Pressure Tubing,3567,15034,2014-01-15,2014,1,15,4.214746285393889
491,Stainless Pipe & Tubing,9621,67577,2014-01-15,2014,1,15,7.023906038873298
492,Pipe & Tubing Nonclassified,1106,3253,2014-01-15,2014,1,15,2.9412296564195297
493,Structural Pipe & Tube,27929,33357,2014-01-15,2014,1,15,1.1943499588241613
494,Pipe For Piling,1652,1298,2014-01-15,2014,1,15,0.7857142857142857
495,Wire Drawn,56636,83938,2014-01-15,2014,1,15,1.48206088000565
496,Black Plate,4335,3473,2014-01-15,2014,1,15,0.8011534025374856
497,Tin Plate,27627,31052,2014-01-15,2014,1,15,1.1239729250371013
498,Tin Free Steel,13028,15804,2014-01-15,2014,1,15,1.213079521031624
499,Sheets Hot Rolled,288004,194150,2014-01-15,2014,1,15,0.6741225816308107
500,Sheets Cold Rolled,147569,159444,2014-01-15,2014,1,15,1.0804708305945017
501,Sheets & Strip Galv Hot Dipped,219501,200496,2014-01-15,2014,1,15,0.913417250946465
502,Sheets & Strip Galv Electrolyt,12760,13498,2014-01-15,2014,1,15,1.0578369905956113
503,Sheets & Strip All Oth Met Coat,82106,77199,2014-01-15,2014,1,15,0.940235792755706
504,Sheets & Strip - Electrical,6747,9973,2014-01-15,2014,1,15,1.4781384318956574
505,Strip - Hot Rolled,6687,6363,2014-01-15,2014,1,15,0.9515477792732167
506,Strip - Cold Rolled,11695,32062,2014-01-15,2014,1,15,2.741513467293715
507,Total Selected Commodities,2933841,2788471,2014-02-15,2014,2,15,0.9504506208755008
508,Ingots And Steel For Castings,3611,7284,2014-02-15,2014,2,15,2.01716975906951
509,"Blooms, Billets And Slabs",717227,411023,2014-02-15,2014,2,15,0.5730724024611455
510,Wire Rods,119214,85319,2014-02-15,2014,2,15,0.7156793665173553
511,Structural Shapes Heavy,45724,38322,2014-02-15,2014,2,15,0.8381156504242848
512,Steel Piling,13733,15311,2014-02-15,2014,2,15,1.1149057015946988
513,Plates Cut Lengths,118122,108946,2014-02-15,2014,2,15,0.9223176038333248
514,Plates In Coils,131262,96182,2014-02-15,2014,2,15,0.7327482439700751
515,Rails Standard,16350,16072,2014-02-15,2014,2,15,0.9829969418960245
516,Rails All Other,1516,1782,2014-02-15,2014,2,15,1.175461741424802
517,Railroad Accessories,633,918,2014-02-15,2014,2,15,1.4502369668246446
518,Bars - Hot Rolled,120689,129248,2014-02-15,2014,2,15,1.070917813553845
519,Bars - Light Shaped,11627,11222,2014-02-15,2014,2,15,0.9651672830480778
520,Bars - Reinforcing,139004,85425,2014-02-15,2014,2,15,0.6145506604126499
521,Bars - Cold Finished,29940,74578,2014-02-15,2014,2,15,2.4909151636606546
522,Tool Steel,12142,34616,2014-02-15,2014,2,15,2.8509306539285126
523,Standard Pipe,55451,69627,2014-02-15,2014,2,15,1.255649131665795
524,Oil Country Goods,231151,320769,2014-02-15,2014,2,15,1.3877032762133843
525,Line Pipe > 16 Inches In Diameter,63333,77218,2014-02-15,2014,2,15,1.2192379959894526
