,Country_Area,Quantity,Value,year,month,day,date,price
70,Switzerland,955.0,3551.0,2013,2,15,2013-02-15,3.718324607329843
71,Turkey,103788.0,69808.0,2013,2,15,2013-02-15,0.6726018422168266
72,Ukraine,1598.0,4211.0,2013,2,15,2013-02-15,2.6351689612015017
73,Other Europe,5889.0,7051.0,2013,2,15,2013-02-15,1.1973170317541177
74,Euro Area,241614.0,377549.0,2013,2,15,2013-02-15,1.5626122658455222
75,Pacific Rim Countries,677943.0,681251.0,2013,2,15,2013-02-15,1.004879466267813
76,Australia,23768.0,14052.0,2013,2,15,2013-02-15,0.5912150790979468
77,China,130808.0,135624.0,2013,2,15,2013-02-15,1.0368173200415878
78,Indonesia,766.0,1841.0,2013,2,15,2013-02-15,2.4033942558746735
79,Japan,185494.0,197475.0,2013,2,15,2013-02-15,1.0645896902325682
80,Countries(NICS),320182.0,317308.0,2013,2,15,2013-02-15,0.991023855182365
81,Hong Kong,107.0,186.0,2013,2,15,2013-02-15,1.7383177570093458
82,Korea,255631.0,229480.0,2013,2,15,2013-02-15,0.8977002006798862
83,Singapore,,,2013,2,15,2013-02-15,
84,Taiwan,64443.0,87641.0,2013,2,15,2013-02-15,1.3599770339680026
85,Other Pacific Rim,16924.0,14951.0,2013,2,15,2013-02-15,0.8834199952729851
86,South/Central America,396623.0,238342.0,2013,2,15,2013-02-15,0.600928337489253
87,Argentina,21319.0,38983.0,2013,2,15,2013-02-15,1.8285566865237581
88,Brazil,370803.0,194939.0,2013,2,15,2013-02-15,0.525721205060369
89,Chile,,,2013,2,15,2013-02-15,
90,Colombia,493.0,527.0,2013,2,15,2013-02-15,1.0689655172413792
91,Venezuela,,,2013,2,15,2013-02-15,
92,Other S/C America,4007.0,3893.0,2013,2,15,2013-02-15,0.9715497878712254
93,Other Countries,72815.0,102986.0,2013,2,15,2013-02-15,1.4143514385772162
94,India,39591.0,62201.0,2013,2,15,2013-02-15,1.571089389002551
95,South Africa,6254.0,6866.0,2013,2,15,2013-02-15,1.0978573712823794
96,Thailand,3891.0,7181.0,2013,2,15,2013-02-15,1.8455409920328965
97,Other,23080.0,26739.0,2013,2,15,2013-02-15,1.1585355285961871
98,Total Census Basis,2331835.0,2394674.0,2013,3,15,2013-03-15,1.0269483046613503
99,North America,704969.0,682426.0,2013,3,15,2013-03-15,0.9680227073814593
100,Canada,444063.0,463691.0,2013,3,15,2013-03-15,1.0442009354528523
101,Mexico,260905.0,218735.0,2013,3,15,2013-03-15,0.8383702880358751
102,Europe,534665.0,696043.0,2013,3,15,2013-03-15,1.3018301179243077
103,European Union,300148.0,542935.0,2013,3,15,2013-03-15,1.808890947132748
104,Austria,22598.0,40147.0,2013,3,15,2013-03-15,1.7765731480662006
105,Belgium,7149.0,16017.0,2013,3,15,2013-03-15,2.240453210239194
106,Czech Republic,7100.0,15020.0,2013,3,15,2013-03-15,2.1154929577464787
107,Finland,3481.0,6530.0,2013,3,15,2013-03-15,1.875897730537202
108,France,14146.0,37532.0,2013,3,15,2013-03-15,2.6531881804043547
109,Germany,70238.0,116699.0,2013,3,15,2013-03-15,1.661479540989208
110,Italy,32955.0,93655.0,2013,3,15,2013-03-15,2.8419056288878775
111,Netherlands,25449.0,22907.0,2013,3,15,2013-03-15,0.9001139533969901
112,Poland,2989.0,2485.0,2013,3,15,2013-03-15,0.8313817330210773
113,Spain,7181.0,16633.0,2013,3,15,2013-03-15,2.316251218493246
114,Sweden,17431.0,47686.0,2013,3,15,2013-03-15,2.7357007630084333
115,United Kingdom,33391.0,62965.0,2013,3,15,2013-03-15,1.8856877601748974
116,Other EU,56040.0,64659.0,2013,3,15,2013-03-15,1.1538008565310494
117,Norway,363.0,746.0,2013,3,15,2013-03-15,2.0550964187327825
118,Russia,83730.0,47702.0,2013,3,15,2013-03-15,0.5697121700704646
119,Switzerland,948.0,3516.0,2013,3,15,2013-03-15,3.7088607594936707
120,Turkey,139361.0,86204.0,2013,3,15,2013-03-15,0.6185661698753597
